parallax,phot_g_mean_mag,bp_rp
768.0665391873573,8.984749,3.8045802
546.975939730948,8.1939745,2.8336968
415.17941567802137,11.038391,4.1848364
392.75294543876464,6.551172,2.2156086
374.48958852876103,8.524133,-0.27842712
373.8443122683992,10.817838,3.8285542
367.71189618147696,10.507542,3.7529564
336.0266016683708,9.126414,2.8340364
316.48118678226916,10.379277,3.5294142
310.5772928005821,3.465752,1.1402977
304.1353692001036,6.5220323,2.0982852
296.3053079139394,9.601,3.0332584
286.0053518616485,5.4506445,1.7153406
285.99494829578117,4.766713,1.4625897
283.8401180184389,7.854393,2.4610577
283.8377678450057,8.524704,2.625472
280.706821579123,7.218567,2.164384
280.6947310460246,9.686646,2.8360271
279.2496391012477,12.167455,4.3975945
274.8431415216296,4.322904,1.2974195
273.80974511859966,3.3003998,1.0512211
272.16154083178225,10.995456,3.6653757
269.05730465038937,10.436525,3.1970692
264.12689775460655,8.576388,2.7577581
260.98844068047276,12.263103,4.5285025
254.19859326384577,8.063552,2.0266457
251.9124222107058,5.984104,1.8535872
232.13898083974135,8.801877,2.7315807
231.7799995322092,12.299163,0.5975876
231.11849780261377,11.235116,3.5342093
230.09703402875448,7.6824937,2.186049
223.73208720990553,10.681062,3.188181
223.47747382423316,11.240162,3.497839
219.78977211974913,8.02864,2.518117
219.64625138839503,8.336431,2.4648557
219.33021263059618,12.837447,4.5808744
215.67527344818546,11.423104,0.28574753
214.5745030256979,11.908311,3.822524
214.0379888743159,8.875059,2.8092842
206.96977507456424,11.859422,3.6814375
206.35003920573322,11.773832,3.6749277
205.31478196510724,5.9611735,1.7223029
203.8875927696954,7.912665,2.104178
203.83234385738783,12.257253,3.8549728
201.40642101948626,8.204091,2.564643
201.3251983325545,7.739947,2.2399096
199.6944012807481,9.602153,2.9048986
199.6910732720413,9.54224,-0.1910038
199.6080124181338,4.179894,1.0412455
199.45161859738874,9.775309,2.9896755
197.95730094675557,9.005235,2.7301593
196.2619260343735,12.48557,4.038414
195.85633153170514,5.5392184,1.4856548
195.5673545594233,3.987364,1.0036926
194.14430904826264,11.96628,3.7769175
192.01346218785218,9.901327,2.8903284
190.32514271529305,9.551337,2.701994
187.7289806878707,12.7359295,4.2261887
186.04662779359126,10.649305,3.0327492
183.99619525468464,7.6105833,2.1149225
181.2730074917688,12.33619,0.44229984
181.24383901243414,9.702565,2.8958826
179.06293491259635,8.863551,2.5611715
177.93122142191174,10.081701,2.9015598
175.31313655111924,7.1082892,2.121859
173.57398583239672,7.3134713,2.0742784
173.49391001786597,4.449041,0.9943154
172.67623105398982,10.11378,2.8699055
169.8842702825854,5.3640366,1.3236036
169.8041953551915,9.592273,2.5847359
169.23508466417934,10.752913,3.0468893
169.21632962255026,8.152917,2.095766
169.06150528157374,8.099911,2.378519
168.9965073189456,8.2741785,2.4276128
168.83216034019418,3.3200667,0.8868861
168.71856118825883,6.762044,1.7540107
168.13027793748972,4.828591,1.0597496
168.00307885629599,4.831335,1.0583043
167.9616795430231,5.889863,1.4148359
166.97689652666736,9.692206,2.997038
166.3272042796776,5.033037,1.101397
165.5242095575573,4.063915,0.9325981
165.2146994337292,9.934659,3.105956
163.9544145383167,3.3641381,1.0192785
162.2171000791857,7.2426615,1.9117098
160.99524492008814,13.778201,1.0028296
159.9225477824956,9.894982,2.9232502
159.90846046252173,10.828941,3.174079
159.66339203721853,9.043998,2.6609464
158.71827296463243,9.421787,2.5615683
157.88793077923938,6.976026,1.8173037
157.8824911260602,7.054455,1.8464499
157.26857654561297,13.413064,4.3995686
155.23734721807887,14.236672,1.1336575
154.69993660722557,11.926109,3.5332613
154.35026839246862,9.139769,2.2954597
153.96586519953095,13.813289,4.7289762
153.87539543012036,10.444497,2.7784386
153.75934537322692,11.133258,3.1541195
152.86400389732427,5.2318964,1.2163415
150.07810926426842,11.226226,3.0590277
148.19855031056267,8.977005,2.4295382
148.17931678941665,6.4300914,1.5178809
148.06949945238355,4.4804826,0.92511153
147.72184850183513,11.397289,2.992114
147.4957775212429,9.108492,2.6544762
145.69218853775283,10.058402,2.590352
145.62341010499722,7.795021,2.1508222
143.53906190611502,10.290781,2.8693
142.09514314210975,8.675959,2.2955694
142.054284613815,7.756715,2.0436773
141.89460573855888,10.830858,2.814188
141.7891196305653,14.061078,4.7689047
140.69606047638192,11.902864,3.2036524
139.33889353237683,12.623748,3.7062197
138.4370910355932,10.333128,2.8553162
138.34000380964673,5.4983196,1.1986432
138.2280013262178,11.550707,3.3034801
138.0662741149332,9.386162,2.2938309
134.49484768931154,5.467689,1.1095943
133.71940556671353,2.6807318,0.92413735
131.59960903219002,10.453175,2.8772593
131.55250924995755,6.0918646,1.3403125
131.27900875405268,12.296879,3.5128498
131.10134519384707,8.205292,2.0878701
130.8530774537263,11.911708,3.1288576
130.823369060264,4.99968,1.0224853
130.4186009154895,10.46742,2.7553616
130.28806976927032,4.9480124,0.9222264
130.27065669284806,11.129232,3.0147228
130.19563405443222,9.467294,2.5002089
129.7543962369321,8.331761,2.2344894
129.64588200281264,6.934473,1.7076311
129.31674036196353,13.142607,3.966424
129.3014012527262,10.417205,2.7911243
129.21844952774615,8.519395,2.1195245
128.98659827505904,12.776403,3.7366943
128.30565976722806,11.758081,3.2589169
125.45085476530886,11.863026,3.2195606
125.30284548899108,12.030774,3.3734112
124.61980141424488,3.0879216,0.8058183
124.56954932191705,10.418207,2.6348133
124.35689454555873,10.381962,2.63978
124.33777491111096,11.684706,3.1420422
124.18513331297466,10.983478,2.663249
123.77563788382407,10.105141,2.7543068
123.65465984021166,9.43527,2.4840298
123.64295658391296,11.828689,3.3687391
123.20329450522371,10.67168,2.9472322
123.19885316518207,13.9694195,0.83092594
122.55460651085501,8.74288,2.1102657
122.41301924617866,13.777515,0.85930157
122.108812649359,5.5083017,1.0707846
122.00347235303983,5.6254873,1.0941982
121.70844820778298,10.557133,2.7857323
121.472361391852,7.259579,1.7334809
121.45982871489811,8.941875,2.4585924
120.39791474431885,9.58592,2.6111593
120.01426997667465,12.895188,0.30948067
119.92480848370072,3.2384055,1.0220034
119.88706136425247,9.184961,2.6012816
119.75661648253032,14.376431,1.1483755
119.75186488791154,11.824005,3.159114
119.5794051981195,11.167953,3.010641
119.57374393720566,7.7924075,1.9057045
119.34188913224592,12.816201,3.588379
118.82496536460518,9.636776,1.8890948
118.15513655131949,14.373105,1.05058
118.02660559667956,4.094672,0.7944677
117.7262697791185,11.662542,2.960165
117.67912787614085,12.898023,3.501872
117.47159417533476,9.495382,2.4885054
117.3961254185898,11.822395,0.23041058
117.1726460991387,4.5325284,0.898438
117.13884218186048,15.421229,1.420248
117.03270509707764,11.772939,3.1874819
116.31336925688149,9.292778,2.4678383
116.26781443397161,12.101368,3.3437214
116.18257854098105,4.07351,0.76927614
116.04245757212003,13.07033,3.705145
115.48757106313471,15.888929,4.758255
115.39816465618533,11.112143,3.4003267
115.08346553021467,11.583742,3.0470934
114.94966074779107,4.241686,0.79622936
114.91584350091051,10.913422,2.8370752
114.60403630806456,12.568368,3.4673643
114.35472221987995,6.231057,1.2769122
114.29110218630719,9.097528,2.329884
114.08541529766859,8.854014,2.1624355
113.75134443945775,5.3014293,0.97412014
113.48717988476642,5.48135,1.0801368
113.4447215072131,9.237196,2.5417328
113.28575402688406,7.987019,2.025042
113.25212980007824,9.814883,2.283307
113.22280917668247,9.805328,2.2868843
113.13179107170824,10.212167,2.6525488
113.1304474816652,9.3847475,2.448677
113.07145912478761,5.886492,1.2494874
112.99267789745944,10.665649,2.7916021
112.98665781642164,10.21215,2.719409
112.673969367493,10.290013,2.3576193
112.65840008030332,13.199735,3.888235
112.46606502613807,5.868166,1.1573954
112.38592357649058,8.170376,2.2653556
112.29602820037746,3.476823,0.7528229
111.86977668317493,9.133169,2.2976866
110.82634141717595,11.699139,3.210291
110.23053640673568,8.527628,1.9515948
110.17107046121285,8.896746,2.2076273
110.02539078597692,3.2755666,1.1661985
109.94998579551846,13.555757,3.9364405
109.92764165734953,14.297183,0.91118336
109.85476445728253,10.6348,2.873805
109.7322981748391,13.419059,3.9311018
109.34396565048813,12.970207,0.341712
109.25448246098924,13.95689,4.3793364
109.02963997046682,6.1985016,1.0016494
108.79034810659502,10.71994,2.764947
108.72500920524958,4.093279,0.76205873
108.32540981694386,9.05489,2.7088056
108.27324701475469,10.561693,2.5987225
108.25824276088214,13.43526,3.8737068
108.01020563892783,4.0891333,0.70557785
107.84878596134138,11.653467,3.1158705
107.8023393880993,4.6564903,0.8589401
107.4237327880164,11.724745,2.9091444
107.38727063119035,13.467986,3.8216057
107.30243385622761,4.701676,0.85635567
107.29720247543435,9.17051,2.395567
106.84044046439892,11.051151,2.660573
106.60957230063393,11.050699,2.547885
106.33898970249588,13.600672,0.5692425
106.17268218621597,9.158753,2.31528
105.97890913558383,9.891662,2.3962393
105.69034761779739,9.470075,2.362997
105.52292580796777,13.255206,3.6783772
105.42748417135273,9.004439,2.3010335
105.34666432766488,9.565008,2.489376
105.29350582131478,13.082282,3.6711798
105.03359374375755,11.5566025,3.1512985
104.95896402103264,12.681532,3.4047127
104.91901080176949,11.837387,3.1421013
104.91474639894832,9.450096,2.3977938
104.76384886334955,12.36353,3.1983938
104.6570356923785,14.548313,0.93699646
104.6132883058554,5.7383237,1.0040288
104.44145826068146,12.352267,3.3413076
104.42517041496379,5.1109953,0.9060354
104.13101101563805,12.0486,3.1831532
104.0957433164141,9.631405,2.5324478
103.50079405457333,12.176142,3.2023096
103.30805319435495,9.293614,2.27184
103.202705055613,11.613846,2.8484068
103.17978190067224,10.685861,2.6100235
102.9431913175485,7.8434396,2.1113243
102.90778143705751,13.696558,0.6537342
102.75212885827295,11.625256,2.9660664
102.59423728721372,14.904285,4.640273
102.30138546700663,9.582008,2.4492664
102.28274631661318,12.697248,3.4199324
101.97239029860124,9.605488,3.1264439
101.56148649807155,7.4861526,1.6994839
101.42379529598418,8.671337,2.1754298
101.37235858535027,11.927245,3.305438
101.08642729912918,9.566636,2.3044653
101.07188811909556,5.5535517,1.0146093
101.04081512316355,11.059386,2.77528
100.92736593436285,11.981026,3.1607075
100.91605993172233,7.9525313,1.7984858
100.90325241620975,10.501792,2.6514645
100.79210677742213,9.575837,3.0309772
100.72988106724877,11.477213,2.8147955
100.68500426698174,10.725493,3.098195
100.60251218748147,11.695198,2.9163027
