HIP,Vmag,Plx,B-V
32349,-1.44,379.21,0.009
30438,-0.62,10.43,0.164
69673,-0.05,88.85,1.239
71683,-0.01,742.12,0.71
91262,0.03,128.93,-0.001
24608,0.08,77.29,0.795
24436,0.18,4.22,-0.03
37279,0.4,285.93,0.432
7588,0.45,22.68,-0.158
27989,0.45,7.63,1.5
68702,0.61,6.21,-0.231
97649,0.76,194.44,0.221
60718,0.77,10.17,-0.243
21421,0.87,50.09,1.538
65474,0.98,12.44,-0.235
80763,1.06,5.4,1.865
37826,1.16,96.74,0.991
113368,1.17,130.08,0.145
62434,1.25,9.25,-0.238
102098,1.25,1.01,0.092
71681,1.35,742.12,0.9
49669,1.36,42.09,-0.087
33579,1.5,7.57,-0.211
36850,1.58,63.27,0.034
61084,1.59,37.09,1.6
85927,1.62,4.64,-0.231
25336,1.64,13.42,-0.224
25428,1.65,24.89,-0.13
45238,1.67,29.34,0.07
26311,1.69,2.43,-0.184
109268,1.73,32.16,-0.07
26727,1.74,3.99,-0.199
39953,1.75,3.88,-0.145
62956,1.76,40.3,-0.022
15863,1.79,5.51,0.481
90185,1.79,22.55,-0.031
54061,1.81,26.38,1.061
34444,1.83,1.82,0.671
67301,1.85,32.39,-0.099
41037,1.86,5.16,1.196
86228,1.86,11.99,0.406
28360,1.9,39.72,0.077
82273,1.91,7.85,1.447
31681,1.93,31.12,0.001
42913,1.93,40.9,0.043
100751,1.94,17.8,-0.118
11767,1.97,7.56,0.636
30324,1.98,6.53,-0.24
46390,1.99,18.4,1.44
9884,2.01,49.48,1.151
50583,2.01,25.96,1.128
3419,2.04,34.04,1.019
92855,2.05,14.54,-0.134
68933,2.06,53.52,1.011
677,2.07,33.6,-0.038
5447,2.07,16.36,1.576
27366,2.07,4.52,-0.168
72607,2.07,25.79,1.465
112122,2.07,19.17,1.61
86032,2.08,69.84,0.155
14576,2.09,35.14,-0.003
9640,2.1,9.19,1.37
57632,2.14,90.16,0.09
4427,2.15,5.32,-0.046
61932,2.2,25.01,-0.023
39429,2.21,2.33,-0.269
45556,2.21,4.71,0.189
76267,2.22,43.65,0.032
44816,2.23,5.69,1.665
65378,2.23,41.73,0.057
100453,2.23,2.14,0.673
3179,2.24,14.27,1.17
87833,2.24,22.1,1.521
25930,2.25,3.56,-0.175
746,2.28,59.89,0.38
66657,2.29,8.68,-0.171
78401,2.29,8.12,-0.117
82396,2.29,49.85,1.144
71860,2.3,5.95,-0.154
71352,2.33,10.57,-0.157
53910,2.34,41.07,0.033
72105,2.35,15.55,0.966
107315,2.38,4.85,1.52
86670,2.39,7.03,-0.171
2081,2.4,42.14,1.083
58001,2.41,38.99,0.044
84012,2.43,38.77,0.059
113881,2.44,16.37,1.655
35904,2.45,1.02,-0.083
105199,2.45,66.84,0.257
45941,2.47,6.05,-0.141
102488,2.48,45.26,1.021
113963,2.49,23.36,-0.002
14135,2.54,14.82,1.63
81377,2.54,7.12,0.038
68002,2.55,8.48,-0.176
54872,2.56,56.52,0.128
78820,2.56,6.15,-0.065
25985,2.58,2.54,0.211
59196,2.58,8.25,-0.128
59803,2.58,19.78,-0.107
93506,2.6,36.61,0.062
74785,2.61,20.38,-0.071
77070,2.63,44.54,1.167
8903,2.64,54.74,0.165
26634,2.65,12.16,-0.12
28380,2.65,18.83,-0.083
61359,2.65,23.34,0.893
6686,2.66,32.81,0.16
67927,2.68,88.17,0.58
73273,2.68,6.23,-0.184
23015,2.69,6.37,1.49
52727,2.69,28.18,0.901
61585,2.69,10.67,-0.176
85696,2.7,6.29,-0.179
35264,2.71,2.98,1.616
89931,2.72,10.67,1.38
97278,2.72,7.08,1.507
79593,2.73,19.16,1.584
80331,2.73,37.18,0.91
52419,2.74,7.43,-0.22
61941,2.74,84.53,0.368
26241,2.75,2.46,-0.21
65109,2.75,55.64,0.068
72622,2.75,42.25,0.147
86742,2.76,39.78,1.168
23875,2.78,36.71,0.161
80816,2.78,22.07,0.947
84345,2.78,8.53,1.164
59747,2.79,8.96,-0.193
